ph_value,do_value,temp_value,salinity_value
10.1,9.63,30.1,614.5
10.3,9.63,30.1,617.1
9.9,9.64,30.3,627.3
11.0,9.63,30.2,617.1
7.0,9.65,30.4,640.3
10.0,9.63,30.1,614.5
7.8,9.65,30.4,640.3
10.5,9.63,30.2,617.1
10.6,9.64,30.3,622.2
10.5,9.64,30.2,624.7
9.9,9.64,30.3,622.2
10.1,9.64,30.3,624.7
9.4,9.63,30.1,614.5
10.0,9.64,30.3,622.2
10.1,9.64,30.3,624.7
10.8,9.63,30.2,617.1
9.9,9.64,30.3,624.7
10.1,9.64,30.2,622.2
10.3,9.64,30.2,622.2
10.1,9.64,30.3,622.2
9.1,9.65,30.4,624.7
9.0,9.65,30.4,629.9
10.5,9.63,30.1,617.1
10.5,9.64,30.2,619.6
10.5,9.63,30.1,617.1
9.9,9.64,30.3,624.7
10.4,9.63,30.1,617.1
10.8,9.63,30.2,619.6
10.8,9.63,30.2,617.1
7.2,9.65,30.4,640.3
10.8,9.63,30.2,619.6
10.6,9.63,30.2,619.6
10.2,9.64,30.2,627.3
10.5,9.64,30.2,619.6
10.3,9.64,30.2,622.2
10.4,9.64,30.2,622.2
9.7,9.64,30.4,635.1
10.4,9.64,30.2,622.2
10.1,9.64,30.2,622.2
11.3,9.64,30.3,629.9
11.4,9.64,30.4,632.5
10.3,9.64,30.2,622.2
10.2,9.64,30.2,624.7
11.0,9.63,30.2,617.1
10.4,9.64,30.2,622.2
10.4,9.63,30.2,619.6
10.6,9.64,30.2,619.6
9.0,9.65,30.4,627.3
10.5,9.64,30.2,622.2
8.4,9.65,30.4,643.0
8.2,9.65,30.4,645.6
9.1,9.63,30.1,612.0
10.5,9.63,30.2,619.6
9.8,9.63,30.1,614.5
8.2,9.65,30.4,645.6
10.8,9.63,30.2,619.6
7.2,9.65,30.4,640.3
10.6,9.64,30.4,640.3
9.5,9.64,30.4,632.5
10.4,9.64,30.2,622.2
10.8,9.63,30.2,617.1
9.6,9.63,30.1,614.5
10.7,9.63,30.1,617.1
9.1,9.65,30.4,624.7
10.4,9.64,30.2,622.2
11.0,9.63,30.2,617.1
10.8,9.64,30.2,619.6
10.1,9.64,30.3,622.2
10.7,9.64,30.3,622.2
10.6,9.63,30.2,619.6
9.7,9.64,30.2,627.3
10.9,9.63,30.1,617.1
10.3,9.64,30.2,622.2
10.5,9.63,30.2,619.6
10.2,9.64,30.2,622.2
8.7,9.63,30.1,612.0
10.2,9.64,30.3,624.7
10.3,9.63,30.1,617.1
9.7,9.64,30.3,624.7
10.7,9.63,30.2,617.1
8.1,9.65,30.4,645.6
10.9,9.63,30.2,619.6
10.6,9.63,30.2,619.6
10.4,9.63,30.2,619.6
7.9,9.65,30.4,643.0
10.3,9.64,30.2,622.2
10.6,9.63,30.2,617.1
10.2,9.63,30.1,617.1
9.7,9.64,30.3,624.7
10.1,9.64,30.3,624.7
9.7,9.63,30.1,614.5
10.1,9.64,30.2,622.2
9.6,9.63,30.1,614.5
9.0,9.65,30.4,627.3
9.8,9.64,30.3,622.2
9.9,9.64,30.2,624.7
9.9,9.63,30.1,614.5
8.0,9.65,30.4,643.0
10.1,9.64,30.2,627.3
9.8,9.64,30.3,624.7
11.0,9.64,30.3,632.5
10.5,9.63,30.2,619.6
10.2,9.64,30.3,622.2
10.8,9.63,30.2,617.1
10.1,9.64,30.4,640.3
9.0,9.65,30.4,629.9
10.4,9.63,30.1,617.1
10.6,9.63,30.2,617.1
10.5,9.63,30.2,619.6
7.0,9.65,30.4,632.5
10.5,9.64,30.2,622.2
10.3,9.64,30.3,622.2
10.4,9.64,30.2,624.7
9.3,9.65,30.4,624.7
11.0,9.63,30.2,617.1
9.1,9.65,30.4,624.7
10.0,9.64,30.2,627.3
10.5,9.64,30.2,624.7
10.2,9.63,30.1,617.1
10.6,9.63,30.2,617.1
10.7,9.63,30.1,617.1
10.2,9.64,30.2,622.2
10.8,9.63,30.2,619.6
7.0,9.65,30.4,635.1
9.7,9.65,30.4,624.7
10.5,9.64,30.2,619.6
10.6,9.63,30.2,617.1
10.6,9.63,30.2,617.1
11.3,9.64,30.4,632.5
11.9,9.64,30.3,629.9
10.1,9.64,30.2,624.7
8.7,9.63,30.1,612.0
9.6,9.63,30.1,614.5
10.5,9.63,30.1,617.1
9.8,9.63,30.1,614.5
9.9,9.63,30.1,614.5
10.6,9.63,30.2,619.6
8.4,9.65,30.4,643.0
9.0,9.65,30.4,627.3
9.8,9.63,30.1,614.5
10.4,9.64,30.2,622.2
8.9,9.63,30.1,614.5
10.3,9.64,30.2,622.2
10.1,9.64,30.3,624.7
9.9,9.63,30.1,614.5
10.1,9.64,30.2,624.7
8.0,9.65,30.4,640.3
10.1,9.64,30.3,624.7
6.9,9.65,30.4,635.1
9.9,9.64,30.2,622.2
10.6,9.63,30.2,619.6
10.3,9.64,30.2,622.2
10.3,9.63,30.1,617.1
10.4,9.64,30.2,622.2
10.8,9.63,30.2,617.1
7.0,9.65,30.4,629.9
10.5,9.64,30.2,619.6
10.3,9.63,30.1,617.1
9.9,9.64,30.3,624.7
10.2,9.64,30.2,622.2
10.3,9.64,30.3,622.2
9.5,9.63,30.1,614.5
10.9,9.63,30.2,617.1
10.8,9.63,30.2,619.6
9.8,9.64,30.3,622.2
10.0,9.64,30.2,622.2
10.7,9.63,30.2,617.1
7.1,9.65,30.4,637.7
9.4,9.63,30.1,614.5
10.2,9.64,30.2,622.2
9.6,9.63,30.1,614.5
9.7,9.63,30.1,614.5
10.4,9.64,30.2,617.1
10.6,9.63,30.2,619.6
10.2,9.64,30.2,622.2
7.1,9.65,30.4,632.5
11.1,9.63,30.2,617.1
8.1,9.65,30.4,645.6
9.6,9.63,30.1,614.5
10.2,9.64,30.2,622.2
9.0,9.65,30.4,627.3
10.4,9.63,30.2,617.1
9.1,9.65,30.4,627.3
9.2,9.63,30.1,614.5
10.7,9.63,30.2,619.6
10.3,9.63,30.1,617.1
10.0,9.64,30.3,622.2
9.9,9.64,30.3,622.2
10.5,9.63,30.2,617.1
10.7,9.63,30.2,617.1
9.1,9.65,30.4,624.7
8.1,9.65,30.4,645.6
10.2,9.64,30.2,622.2
10.4,9.64,30.2,622.2
11.0,9.63,30.2,619.6
9.7,9.64,30.2,627.3
10.8,9.63,30.2,617.1
7.0,9.65,30.4,632.5
8.8,9.63,30.1,612.0
10.1,9.64,30.3,627.3
9.3,9.63,30.1,614.5
8.6,9.63,30.1,612.0
8.0,9.65,30.4,643.0
10.4,9.63,30.2,617.1
